gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,delta_nrmse,d_ref,reference_frozen_nrmse,drift_increase_test,n_reference,n_test
CO,12,random_forest,5,0.0943580757821741,0.0808166482419335,0.013541427540240597,0.2444298122974156,0.0991199576271092,0.1846454068927239,5,189
CO,12,random_forest,10,0.0943580757821742,0.0799270710781917,0.014431004703982495,0.2415605745958838,0.0988914202547419,0.1846454068927241,10,189
CO,12,random_forest,20,0.0943580757821741,0.0815349258374026,0.012823149944771503,0.44514568959747,0.1151071583968659,0.1846454068927239,20,189
CO,12,random_forest,50,0.0943580757821741,0.0762633275930278,0.018094748189146304,0.3891599470624279,0.1106478434777298,0.1846454068927239,50,189
CO,12,xgboost,0,0.0928600412502785,0.0928600412502785,0.0,,,0.2217550511523314,0,189
CO,12,xgboost,2,0.0928600412502785,0.0796756218903426,0.013184419359935903,1.596548537677726,0.1973518374977776,0.2217550511523314,2,189
CO,12,xgboost,5,0.0928600412502785,0.0753465274231674,0.017513513827111096,0.8001467690706268,0.1368209634777371,0.2217550511523314,5,189
CO,12,xgboost,10,0.0928600412502785,0.0759011562835983,0.0169588849666802,0.5265424697982048,0.1160255458588556,0.2217550511523314,10,189
CO,12,xgboost,20,0.0928600412502785,0.0788508559226291,0.014009185327649401,0.6564609654934453,0.1259000594596428,0.2217550511523314,20,189
CO,12,xgboost,50,0.0928600412502785,0.0706634306765768,0.022196610573701703,0.500028689479501,0.1140103540806235,0.2217550511523314,50,189
CO,13,pls,0,0.1174648205383987,0.1174648205383987,0.0,,,0.6875694143466404,0,209
CO,13,pls,2,0.1174648205383987,0.1458888095113074,-0.028423988972908695,3.037969634790844,0.2810665887031661,0.6875694143466404,2,209
CO,13,pls,5,0.1174648205383987,0.1161502844525015,0.0013145360858971972,2.141850034565703,0.2186913600894493,0.6875694143466404,5,209
CO,13,pls,10,0.1174648205383987,0.1036513871960942,0.013813433342304504,1.72608596268401,0.1897517196369083,0.6875694143466404,10,209
CO,13,pls,20,0.1174648205383987,0.0917739554258337,0.025690865112564992,1.4182917459769109,0.1683274202149765,0.6875694143466404,20,209
CO,13,pls,50,0.1174648205383987,0.0897382123468991,0.027726608191499594,0.98815810975693,0.1383875730261304,0.6875694143466404,50,209
CO,13,random_forest,0,0.0786730254450533,0.0786730254450533,0.0,,,-0.0122770365200281,0,209
CO,13,random_forest,2,0.0786730254450533,0.1409128405060891,-0.062239815061035805,1.8991378628325108,0.2309189471992716,-0.0122770365200281,2,209
