gas_id,target_batch,model,budget,n_reference,n_test,residual_df,panel_targets,panel_predictions,extreme_true_gap,extreme_pred_gap,extreme_gap_ratio,panel_rank_agreement,panel_pearson_r,panel_residual_rmse,calibrator_slope,calibrator_intercept,frozen_nrmse,light_nrmse,ratio,window_set
NOx,7,pls,5,5,107,3,"41, 92, 132, 365, 435","21.815, 47.936, 94.988, 169.299, 248.574",394.0,226.75926977701405,0.5755311415660255,1.0,0.9786995462128224,32.22247351262968,1.8530191445117408,-2.918078284520334,0.321197698232573,0.14235651684487505,0.4432052833136976,fit
NOx,7,random_forest,5,5,107,3,"41, 92, 132, 365, 435","35.440, 58.395, 87.860, 186.225, 279.510",394.0,244.07,0.6194670050761422,1.0,0.9818639745889611,29.75654469288271,1.694462782257301,-6.4092078233689165,0.29289733700256787,0.13847602709564671,0.47278008230724433,fit
NOx,7,xgboost,5,5,107,3,"41, 92, 132, 365, 435","37.942, 57.721, 73.110, 192.525, 238.915",394.0,200.97321701049805,0.5100843071332438,1.0,0.9981220978644264,9.614396082536695,1.9518103643064566,-21.30050896666077,0.29605759820094457,0.13384135723260066,0.45207877806857666,fit
NOx,8,pls,5,5,105,3,"72, 107, 150, 404, 445","35.378, 98.795, 89.366, 216.714, 173.084",373.0,137.7065474787476,0.36918645436661557,0.8,0.924389174221368,59.78860151544182,2.2526383830016594,-40.72551262467758,0.34990820475561246,0.15421149405770174,0.44071985727058954,fit
NOx,8,random_forest,5,5,105,3,"72, 107, 150, 404, 445","37.745, 126.725, 79.920, 245.250, 208.210",373.0,170.465,0.45701072386058983,0.8,0.9161156465803537,62.83929316546276,1.854656495659762,-23.254407099232964,0.3212485860048769,0.14458747623053889,0.45007972806561675,fit
NOx,8,xgboost,5,5,105,3,"72, 107, 150, 404, 445","40.658, 97.397, 65.976, 239.525, 204.863",373.0,164.20498657226562,0.44022784603824566,0.8,0.9504797145854805,48.71270433602527,1.8998931104272456,-10.785557698462384,0.33102080174833404,0.14657306633900116,0.4427911042594737,fit
NOx,9,pls,5,5,125,3,"81, 105, 149, 393, 444","20.315, 23.310, 84.084, 107.698, 106.327",363.0,86.0120814653566,0.23694788282467383,0.9,0.8764998864703284,73.53176639007992,3.4398578115194,-0.7029617142911491,0.4198521114588329,0.2209353686076883,0.5262218828435054,fit
NOx,9,random_forest,5,5,125,3,"81, 105, 149, 393, 444","21.945, 33.215, 87.025, 111.390, 111.755",363.0,89.81,0.24741046831955923,1.0,0.8870056899500485,70.53130855609072,3.530889151032668,-23.587946709352906,0.3948734600821519,0.23260405863150857,0.5890597422858356,fit
NOx,9,xgboost,5,5,125,3,"81, 105, 149, 393, 444","21.916, 37.375, 87.835, 107.228, 102.441",363.0,80.52461814880371,0.2218309039911948,0.9,0.852254169880593,79.90518400831917,3.719790986471917,-31.040258559076534,0.39491615599398555,0.2624256798744399,0.6645098608688892,fit
NOx,10,pls,5,5,110,3,"93, 149, 166, 404, 460","16.304, 16.218, 59.995, 99.540, 88.507",367.0,72.20332216814312,0.19673929746088042,0.8,0.9046085997172681,63.114286894639264,3.8264999808021574,39.68383545012492,0.4585298388959065,0.3662113090015919,0.7986640736040029,held
