gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,slope,d_ref,n_reference,n_test,ratio,delta_nrmse,window_set
CO,7,pls,2,0.0857710136267991,0.1036713904648132,0.7446058538067059,1.5701682947036606,2,139,1.2086996070245943,-0.017900376838014098,fit
CO,7,random_forest,2,0.0593806397269783,0.1008559679859863,0.7497513331596558,0.8726466396937559,2,139,1.6984655007036675,-0.041475328259007994,fit
CO,7,xgboost,2,0.0697857724722782,0.1229432583373671,0.7171968795741224,1.5403372819007235,2,139,1.7617238296847006,-0.05315748586508891,fit
CO,8,pls,2,0.0588818442499116,0.066529840959504,0.9122157073785208,0.7203652205465273,2,141,1.1298871801150128,-0.007647996709592396,fit
CO,8,random_forest,2,0.048617904578622,0.0585148171592919,0.8811582633811885,-0.1956675513626724,2,141,1.2035651817256994,-0.009896912580669902,fit
CO,8,xgboost,2,0.0533142158383381,0.0625219353005695,0.8656613914848857,0.2028412482632474,2,141,1.172706647138007,-0.009207719462231402,fit
CO,9,pls,2,0.1327562316483089,0.0913309179589233,1.003929751639572,1.0968425740950896,2,202,0.6879595543271562,0.04142531368938561,fit
CO,9,random_forest,2,0.0912422264134439,0.079301030858402,1.0156001195875193,-0.1805308772827212,2,202,0.8691264338406975,0.011941195555041903,fit
CO,9,xgboost,2,0.0963448326513352,0.080065899067282,1.0456753958976035,0.4884659816889686,2,202,0.8310346996712792,0.016278933584053204,fit
CO,10,pls,2,0.1756550953007581,0.1154789030605435,0.979528029857304,1.4604239267282275,2,146,0.6574184646498273,0.0601761922402146,held
CO,10,random_forest,2,0.1300943282644379,0.0955535458038026,1.0161336186091623,0.6835465166325941,2,146,0.7344943248377013,0.0345407824606353,held
CO,10,xgboost,2,0.1293286642113204,0.097638432172457,1.0157085478068222,0.771379477460762,2,146,0.7549635865171994,0.03169023203886338,held
CO,11,pls,2,0.1442547854127872,0.1401758249765836,0.8680282002844494,2.768239524596847,2,189,0.9717239159551513,0.004078960436203594,held
CO,11,random_forest,2,0.099977689158321,0.114318393795712,0.8671417648988374,0.787908438356173,2,189,1.1434390488330008,-0.014340704637390997,held
CO,11,xgboost,2,0.1093478810070328,0.1383453481259518,0.8109412152441001,1.837113547841412,2,189,1.2651854508004048,-0.028997467118919013,held
CO,12,pls,2,0.1644128654450597,0.0996430190953599,0.7862759364381661,2.4649676102263776,2,189,0.6060536614676099,0.0647698463496998,held
CO,12,random_forest,2,0.0943580757821741,0.0794957092802814,0.8702047875306907,0.7127755473989141,2,189,0.8424897246081775,0.014862366501892696,held
CO,12,xgboost,2,0.0928600412502785,0.0796756218903426,0.8672678866495495,1.596548537677726,2,189,0.8580183770928881,0.013184419359935903,held
CO,13,pls,2,0.1174648205383987,0.1458888095113074,0.8641708233957299,3.037969634790844,2,209,1.2419787374860631,-0.028423988972908695,held
CO,13,random_forest,2,0.0786730254450533,0.1409128405060893,0.7352259103842468,1.8991378628325133,2,209,1.7911201419920662,-0.062239815061036,held
CO,13,xgboost,2,0.0867562096347296,0.1813289789133745,0.6820513552438001,3.007858767146072,2,209,2.0900979846494607,-0.09457276927864489,held
NO2,4,pls,2,0.1409191149857765,0.1187064659084692,0.7754086732381403,1.2637006957247603,2,191,0.8423730586191284,0.0222126490773073,fit
NO2,4,random_forest,2,0.1131850482044795,0.1010533840186724,0.8316012686748881,0.807921694661024,2,191,0.8928156644516323,0.012131664185807106,fit
NO2,4,xgboost,2,0.112484996891412,0.1052985075480936,0.7885837924983248,0.9406342701600744,2,191,0.9361115745039676,0.007186489343318406,fit
NO2,5,pls,2,0.1359637437079492,0.1157278296649504,0.9561770846832433,0.8919596256961975,2,195,0.8511668368998014,0.020235914042998793,fit
NO2,5,random_forest,2,0.1221020467552883,0.1536311838797125,0.9168143813274784,1.535486927247096,2,195,1.2582195627532236,-0.031529137124424206,fit
NO2,5,xgboost,2,0.1254668536207586,0.1404416944078304,0.96712686160329,1.2155748128896364,2,195,1.1193529633917128,-0.014974840787071786,fit
NO2,6,pls,2,0.1456270991908023,6.484621003098034,-0.0502711412791405,5.151977671175954,2,107,44.52894440066961,-6.338993903907231,fit
NO2,6,random_forest,2,0.1291608251874875,3.0700230502864208,-0.1016257480589296,5.6559570454593,2,107,23.768995326795345,-2.9408622250989334,fit
NO2,6,xgboost,2,0.1378199612598547,2.732002576013303,-0.119947059165562,5.937230160695642,2,107,19.822981744003016,-2.594182614753448,fit
NO2,7,pls,2,0.1175726576344987,0.1051264092552325,0.9531526037046874,0.2873908623165548,2,123,0.8941399418055328,0.012446248379266195,fit
NO2,7,random_forest,2,0.1318241008732545,0.1198045788095217,1.155868442290106,0.071554527167595,2,123,0.9088215130305402,0.012019522063732802,fit
NO2,7,xgboost,2,0.1333209424912854,0.1254938186312128,1.0238704189419885,0.6495060321938351,2,123,0.9412911151555637,0.007827123860072588,fit
NO2,8,pls,2,0.2407391078243416,0.2100554884404913,0.5963110734406012,0.7307458068082003,2,144,0.8725441011178001,0.030683619383850308,fit
NO2,8,random_forest,2,0.1954197837583011,0.2298873759949344,0.6739267481290333,0.304207604870185,2,144,1.1763771895237765,-0.03446759223663329,fit
NO2,8,xgboost,2,0.1924323096621681,0.2511949123471471,0.6150809531685177,0.7637133885392341,2,144,1.3053676525950446,-0.05876260268497899,fit
NO2,9,pls,2,0.1326317536492991,0.3102090496245264,0.6786493070294961,1.4869544379911472,2,176,2.338874674346626,-0.17757729597522728,fit
NO2,9,random_forest,2,0.1718266167249796,0.2245147070305058,0.6144046202364734,2.3561189581344038,2,176,1.306635207686462,-0.05268809030552621,fit
NO2,9,xgboost,2,0.172052570540527,0.2389343935995061,0.6113426381996465,2.477500748695727,2,176,1.388728996311189,-0.0668818230589791,fit
NO2,10,pls,2,0.0937224626065149,0.1351097530766782,0.6782383436900791,0.4969519037283184,2,138,1.4415941420993599,-0.04138729047016329,held
NO2,10,random_forest,2,0.1856688312052988,0.2237133681192048,0.4996636876389689,2.4246182581653466,2,138,1.2049053503861356,-0.038044536913905996,held
NO2,10,xgboost,2,0.1992833634394797,0.182294233172794,0.5779140199808447,2.520189525765987,2,138,0.9147488783134418,0.016989130266685692,held
NO2,11,pls,2,0.12472404831591,0.1684231297713966,0.8797058756190379,0.3753845148359553,2,182,1.3503661246209908,-0.043699081455486594,held
NO2,11,random_forest,2,0.257063968293055,0.1400433740329466,0.8751788349856279,1.4400249059935584,2,182,0.5447802543579192,0.11702059426010841,held
NO2,11,xgboost,2,0.2591877447290878,0.1291192563944747,0.8925753277138869,1.940037036631316,2,182,0.4981688332889146,0.1300684883346131,held
NO2,12,pls,2,0.1783628379858273,0.1512427429038121,0.7095217902139913,1.4885694750588545,2,144,0.8479498566614523,0.02712009508201521,held
NO2,12,random_forest,2,0.3532057076496466,0.2389322768214699,0.5137012882530164,3.491017024115252,2,144,0.6764677683478226,0.1142734308281767,held
